username,message
nakeishageddes,"hey, love how you’re helping women launch businesses and thrive globally—such a strong mission. do you still take on new clients?"
monneybnb,"yo monneybnb, love how you’re turning airbnb into a 10k/mo machine and showing others the game. do you still take on new coaching clients?"
setyourselffree.llc,"hey carrie, love how you’re helping entrepreneurs not just hit numbers but actually buy back their time. do you still have spots open for the 90-day scholarship?"
therealistbysabrina,"hey sabrina, love how you’re showing first-time hosts there’s big money to be made without needing a bunch of properties. do you mainly coach 1:1 or do group stuff too?"
thesuperhostcoach,"hey ciara, love how you’re building a squad of six-figure entrepreneurs with that 30-day system. are most of your students going corporate housing or mixing in short-term rentals too?"
adam_airpreneur1,"yo adam, love how you’re showing people how to cash flow with airbnb without fluff. are your case studies done 1:1 or in a group?"
yourewelcome.airbnb,"hey cass, love how you help women turn ordinary spaces into unforgettable airbnb stays. are you still taking on new coaching clients?"
thehostingjourney,"hey evelyn, love how you’ve been setting the standard for 5-star hosting since 2010—your approach makes it feel effortless. do you still coach new hosts 1:1?"
kenny_bruce_pitman,"yo kenny, building a £3m portfolio in 2 years is wild. do you do 1:1 mentorship or just group coaching?"
heyjodibourne,"hey jodi, love how you help hosts attract their dream guests instead of just filling calendars. are you still taking on new clients for website design?"
nicollesmartt,"hey nicolle, love how you help women lose weight without giving up the foods they love. are your programs group-based or 1:1?"
ankaurbahn,"hey anka, love how you’re blending strength with confidence for women – that’s rare in the fitness space. do you mainly do 1:1 coaching or group programs too?"
_ollydobson,"yo olly, love how you’re blending self-improvement with personal branding for guys—rare combo most coaches don’t hit. are you mainly doing 1:1 or group coaching too?"
syerenaorr,"hey syerena, love how you've scaled to 30+ airbnbs while helping others grow too—truly next level. do you still take on new clients for management?"
staciashepherdrealtor,"hey san, love how you’re combining real estate with empowering women to launch airbnbs. do you offer coaching 1:1 or group programs?"
success718,"yo rodney, love how you’re helping people crush it with airbnb AND pushing 20k+ sold with success clothing—crazy results in both lanes. are you taking on more airbnb clients right now?"
jamessvetec,"hey james, love how you make airbnb sound like a win-win—fun and profitable. do you help people set up their listings or just maximize existing ones?"
coachjaredsaavedra,"yo jared, love how you’re blending high performance coaching with real estate—two worlds most people wouldn’t think to connect. are your coaching programs 1:1 or group-based?"
therealnehemia,"hey faith, love how you’ve built your rep as a superhost and now mentoring others to do the same. is your mentorship all group-based or do you do 1:1 too?"
anja_atl,"hey anja, love how you’re helping women build STR businesses that actually last, not just quick wins. do you do 1:1 coaching too?"
coach_horesia,"hey h, love how you focus on self-love and helping procrastinators finally move forward. are you taking on new clients right now?"
jolenendanielson,"hey jolene, love how you’ve paired personal growth with financial growth—such a dope combo. are your clients mostly 1:1 or do you do group coaching too?"
travelhacking101,"yo kenny, love how you’re flipping the idea of travel hacking without credit cards—super refreshing. do you coach 1:1 or is it all group programs?"
hayes_and_company,"hey paige, love how you’re mixing storytelling with short-term rental design - it’s not just functional, it’s emotional. are your trainings live or all pre-recorded?"
kevinmatthewwilley,"yo kevo, love how you’re blending lacrosse, trading, and coaching into one powerhouse brand. are you doing 1:1s or group coaching right now?"
arise.financial.coaching,"hey nicole, love how you’re flipping the script and empowering women to take control of their money. are you mainly working 1:1 or do you have group coaching too?"
numberswithnina,"hey nina, love how transparent you are about crushing debt and building wealth for WOC. are your sales calls 1:1?"
joelthompsoncoach,"yo joel, love how you turned a barber hustle into a 7-figure coaching empire—respect. are you still doing 1:1s or focusing on the community?"
calltoleap,"yo steve, love how you simplify wealth building for regular folks and still keep that teacher vibe strong. are you still offering free resources like the eBook?"
betterwallet,"yo marc, love how you’re making wealth building accessible for 1st-gen investors – so needed. is your free class live or pre-recorded?"
felipemejiarei,"yo felipe, i love how you keep it personal with 1:1 real estate coaching - super hands-on approach. are you only doing in person or also online?"
moneycoachvince,"hey vince, love how you focus on managing money first before making it—most people skip that part. do you teach investing 1:1 or is it through the free group?"
thebudgetnista,"hey tiffany, love how you’ve turned financial literacy into a movement that’s so accessible. are you taking on new students in the academy right now?"
bossladyt.w,"hey taylor, love how you make building wealth feel accessible, especially with the non-traditional approach. are your freebies all downloadable?"
blueazul401,"yo, love how you're showing people how to turn top-tier credit into real opportunities. are you still taking on mentees or mainly focused on deals now?"
