"username","message"
"thecoachesmentorship","yo, coaches' mentorship, love how you’re helping fitpros scale to real, sustainable businesses. are you mostly working with beginners or established coaches?"
"maplesinvests","hey sabrina, love how you mix investing and coaching with being a mom—feels super grounded and real. do you still buy fixer uppers or is it all client-focused now?"
"therealgigivento","hey gigi, love how you’re showing people the power of one high-demand skill to escape the 9-5 grind. do you teach dm management 1:1 or strictly through your content?"
"_samanthadaily","hey samantha, love how you make marketing and messaging feel like an art people actually care about. are your top tier spots 1:1 or group?"
"javen.spectrumfit","yo javen, love how you’re blending ai and automations with classic lead gen… feels next level. do you still take on new clients or just scaling the academy now?"
"bizgirlkripali","hey kripaliba, love how you’re making affiliate marketing feel empowering and simple for people starting a side hustle. are you currently taking on new coaching clients?"
"ashleyj93","hey ashley, love how you’re helping people turn their passions into profits—such an underrated skill nowadays. do you work with beginners or only those already making money?"
"businessbrokerking","yo michael, ""america is for sale"" is such a bold vibe you’re pushing—respect that mindset. are your 1v1s still open?"
"jefftrills","yo jeff, love how you're blending offline marketing and funding strategies—feels rare these days. are you mainly helping small biz owners locally or nationwide?"
"bizbuyingbrit","hey james, love how you’re cutting through the fluff and keeping it real with the “anti-guru” approach. are you still taking on people for the inner circle?"
"thesuccessbroker","yo syed, love how you’re helping introverted agents crush it without the usual grind. are you mostly working with newer agents or seasoned pros too?"
"dariusbenders","yo darius, 25 mill funded and 50 mentees hitting six figures? respect, man. do you help with startup funding too?"
"donniwiggins_","hey donni, love how you tie impact, income, and lifestyle together—such a sharp angle for business coaching. are you still taking on new mentees?"
"craigskeltonuk","hey mentor, love how you’re combining business growth coaching with podcasting—super rare combo that stands out. are you still working 1:1 with brokers or is it all group coaching now?"
"therealhectorpadilla","yo hector, love how you’ve mastered building generational wealth while being a family man—rare mix. is your “maximize” event focused on beginners or experienced investors?"
"limitlessincomewithclaudia","hey claudia, love how you’re helping mamas turn their passions into something profitable while raising kids—that’s such a vibe. do you offer 1:1 mentorships?"
"lorie_woodruff","hey lorie, love how you’re not just selling houses but inspiring other realtors to level up too. are you taking on new coaching clients right now?"
"nikkimilne_","hey nikki, love how you focus on helping people work less but earn more - speaks to every entrepreneur’s dream haha. do you still have spots open in your mentoring program?"
"iamstephanielawrence","hey coach, love how you’ve helped secure $25m in funding for your clients – that’s impact most people can only dream of. are you taking on new clients right now?"
"stoicmoneycoach","hey vittorio, love how you’re making investing less intimidating for beginners in the uk - cool how personal you keep it too. is your masterclass live or do you offer replays?"
"zoeyberghoff","hey zoey, love how you turned unique stays into both cash flow and freedom so young – are you still taking on new clients?"
"goatsontheroad","hey dariece & nick, love how you’re helping people create true freedom AND build something meaningful online. is the creator kickstarter all group coaching or do you do 1:1s too?"
"fredmurray_","yo freddrick, love how you’re giving people a clear path to turn credit into business growth. are your programs 1:1 or group-based?"
"delyannethemoneycoach","hey, love how you’ve turned slaying the stock market into an actual movement for your students. are your courses all self-paced or do you do live trainings too?"
"thedouladarcy","hey there! love how you're helping doulas create both impact and income. are you still taking on new coaching clients?"
"marieewold","hey marie, love how you're helping women step into their power and scale online – it’s rare to see someone who’s done it as a multi-6fig coach themselves. do you still have spots open for kickstart?"
"ceofirstlady","hey stephanie, love how you’ve built something that blends fashion, finance, and helping others level up… are your coaching spots still open?"
"womenwithcents","hey tash, love how you’re helping women shift from overwhelm to confidence with money—such a powerful mission. are you still doing 1:1 coaching?"
"iamstephanielawrence","hey business, love how you’re out here showing people how to fund their dreams without risking personal credit. do you work with startups or just established businesses?"
"thepragatiaggarwal","hey pragati, love how booked-out framework keeps it so actionable for coaches trying to scale fast. are you taking on any new clients right now?"
"itsauthenticme","hey kamini, love how you break down chaos into clarity for people feeling stuck. do you mostly work 1:1 or run group coaching too?"
"female.in.finance","hey leandra, love how you’re making finance feel approachable without losing the edge. are you still giving out that free investing guide?"
"lumiacoaching","hey lumia, love how you're all about helping people build a business they actually love while making an impact. do you guys offer in-person training or is it all online?"
"enochleffingwell","hey enoch, love how you’re helping health coaches actually get their books out there so fast—most people just dream about that lol. are your health coach clients mainly new or already established?"
"alexxmarketing","yo aleksa, love how clear and no-bs your content is—free tips that actually beat the guru noise is rare. are you still taking on new coaching clients?"
"michaelhyatt","hey michael, love how you’re all about winning at work *and* life—rare to see someone nail both sides. is your coaching webinar live or pre-recorded?"
"realestateditty","yo keith, 500+ deals closed and over 5m in assignments is next level - you still taking on mentees for the 1:1 mentorship?"
"devvratsingh1","yo devvrat, love how you’re helping people turn skills into revenue streams while building international agencies. are you still taking on new clients?"
"forrestblackburn","yo forrest, 4th gen in real estate and helping investors scale fast? respect. you taking on new investors right now?"
"thebriandecker","hey brian, love how you’re blending wealth-building with mentorship—feels like more people need that combo. do you still take on 1:1 clients or just focus on the collective?"
"vansturgeon","yo van, love the mission you’re on helping a million people hit millionaire status through real estate. do you still have spots open to coach new investors?"
