username,message
ryankluke84,"yo ryan, love how you make building long-term wealth sound doable without the hustle culture bs. do you focus more on group coaching or 1:1?"
zoeyberghoff,"hey zoey, i love how you’ve turned adventure and real estate into a lifestyle people dream of. are you currently taking on new coaching clients?"
welcomingwow,"hey suzanne, love how you're making vacation rentals safer for the autism community - that's next-level impact. are you still taking on new co-hosting clients?"
alexayodele_,"hey alex, love how you’re blending mind-body wisdom with clean beauty - feels so fresh and practical. do you offer 1:1 coaching?"
the.amanda.lee,"hey amanda, love how you’re helping people replace their 9-5s with co-hosting — chasing freedom like that is rare these days. are you still taking on new co-hosting clients?"
gordonchrichlow,"yo gordon, love how you’re helping people turn airbnb into an income stream while balancing being a dad and investor. are you still taking on new coaching clients?"
josephdellefave,"hey, love how you’re showing people how to buy real estate without banks or credit. are you still taking on coaching clients?"
nakeishageddes,"hey, love how you’re helping women launch businesses and thrive globally—such a strong mission. do you still take on new clients?"
monneybnb,"yo monneybnb, love how you’re turning airbnb into a 10k/mo machine and showing others the game. do you still take on new coaching clients?"
shak_2much,"yo shakir, love how you’re helping businesses stack income streams while working with so many clients. are you still taking on new consultations?"
setyourselffree.llc,"hey carrie, love how you’re helping entrepreneurs not just hit numbers but actually buy back their time. do you still have spots open for the 90-day scholarship?"
shaniecemwise,"hey shaniece, love how you tie faith into building 6 and 7 figure businesses, that’s rare tbh… are your coaching programs group only or do you do 1:1 too?"
therealistbysabrina,"hey sabrina, love how you’re showing first-time hosts there’s big money to be made without needing a bunch of properties. do you mainly coach 1:1 or do group stuff too?"
thesuperhostcoach,"hey ciara, love how you’re building a squad of six-figure entrepreneurs with that 30-day system. are most of your students going corporate housing or mixing in short-term rentals too?"
adam_airpreneur1,"yo adam, love how you’re showing people how to cash flow with airbnb without fluff. are your case studies done 1:1 or in a group?"
yourewelcome.airbnb,"hey cass, love how you help women turn ordinary spaces into unforgettable airbnb stays. are you still taking on new coaching clients?"
thehostingjourney,"hey evelyn, love how you’ve been setting the standard for 5-star hosting since 2010—your approach makes it feel effortless. do you still coach new hosts 1:1?"
kenny_bruce_pitman,"yo kenny, building a £3m portfolio in 2 years is wild. do you do 1:1 mentorship or just group coaching?"
heyjodibourne,"hey jodi, love how you help hosts attract their dream guests instead of just filling calendars. are you still taking on new clients for website design?"
tawnypowell,"hey tawny, love how you’re helping first-timers win with airbnb while building wealth. is your house hack course self-paced or do you guide buyers directly?"
nicollesmartt,"hey nicolle, love how you help women lose weight without giving up the foods they love. are your programs group-based or 1:1?"
ankaurbahn,"hey anka, love how you’re blending strength with confidence for women – that’s rare in the fitness space. do you mainly do 1:1 coaching or group programs too?"
_ollydobson,"yo olly, love how you’re blending self-improvement with personal branding for guys—rare combo most coaches don’t hit. are you mainly doing 1:1 or group coaching too?"
syerenaorr,"hey syerena, love how you've scaled to 30+ airbnbs while helping others grow too—truly next level. do you still take on new clients for management?"
staciashepherdrealtor,"hey san, love how you’re combining real estate with empowering women to launch airbnbs. do you offer coaching 1:1 or group programs?"
success718,"yo rodney, love how you’re helping people crush it with airbnb AND pushing 20k+ sold with success clothing—crazy results in both lanes. are you taking on more airbnb clients right now?"
jamessvetec,"hey james, love how you make airbnb sound like a win-win—fun and profitable. do you help people set up their listings or just maximize existing ones?"
coachjaredsaavedra,"yo jared, love how you’re blending high performance coaching with real estate—two worlds most people wouldn’t think to connect. are your coaching programs 1:1 or group-based?"
therealnehemia,"hey faith, love how you’ve built your rep as a superhost and now mentoring others to do the same. is your mentorship all group-based or do you do 1:1 too?"
anja_atl,"hey anja, love how you’re helping women build STR businesses that actually last, not just quick wins. do you do 1:1 coaching too?"
coach_horesia,"hey h, love how you focus on self-love and helping procrastinators finally move forward. are you taking on new clients right now?"
jolenendanielson,"hey jolene, love how you’ve paired personal growth with financial growth—such a dope combo. are your clients mostly 1:1 or do you do group coaching too?"
travelhacking101,"yo kenny, love how you’re flipping the idea of travel hacking without credit cards—super refreshing. do you coach 1:1 or is it all group programs?"
hayes_and_company,"hey paige, love how you’re mixing storytelling with short-term rental design - it’s not just functional, it’s emotional. are your trainings live or all pre-recorded?"
travelercharly,"hey charly, love how you’re helping lgbtq folks build real freedom with passive income. are your coaching sessions 1:1?"
jessmorehouseofficial,"hey jessica, i love how you’re blending mindset and structure to help solopreneurs really take ownership of their calendar. are your group coaching spots open right now?"
alex.unfolding,"hey alex, love how you’re helping the “jack of all trades” crowd actually figure out their path. are your coaching sessions 1:1 or group-focused?"
strategiesandtea,"hey aitza, love how you’re helping millennials get time freedom by building smarter money systems. do you still take on 1:1 clients?"
jefffajans,"yo jeff, love how you’re on a mission to stop big ideas from dying and help creatives bring them to life. do you work mostly 1:1 or group coaching?"
coachingwithcasie,"hey casie, love how you show it's possible to build a dream life anywhere in the world. are you still taking on new clients?"
perrys_powerhouse_fitness,"hey kyle, respect man - love how you’re shaping stronger parents with that tough love approach. are you still taking on 1:1 clients or group only?"
itsravenstarr,"hey inked investor girl, love how you’re blending creativity with wealth-building through unique stays. do you still offer airbnb coaching?"
amigasydinero,"hey diana, love how you’re helping first gen latinas rewrite their entire story—travel, debt-free, and living on their terms. are you still taking 1:1 clients?"
jacquisive,"hey jacqui, love how you’re all about turning pain into power while staying true to your vibe. are you mainly mentoring 1:1 or doing group coaching too?"
johnnyairbnb,"yo johnny, love how you’re showing people how to ditch the 9-5 and scale to 10k/mo without even owning property. are you still taking on new mentees?"
stacey_st.john,"hey, love how you’re empowering women to take big steps with real estate and airbnb. do you still take on clients 1:1?"
thewholeheartedhost,"hey tracey, love how you focus on helping hosts grow profits without losing themselves in the process—super refreshing to see. do you still do audits to find that hidden cash?"
sebroski,"yo seby, the way you’ve scaled 25 airbnbs without owning property is wild. do you work with beginners or just people already in the game?"
thewandiruiz,"hey wandi, i love how you built 6 figs while juggling a 9-5 and a baby—you’re on another level. do you focus more on group coaching or 1:1 right now?"
zoenewlove,"hey zoe, love how you focus on helping people push past overwhelm and actually take action. are you still offering 1-1 coaching?"
kanewesterman,"yo kane, love how you’ve actually built a 7-figure brand yourself before mentoring others – feels rare out here. are you currently taking on new brands to coach?"
therealmsmanifest,"hey lori, love how you’re helping women simplify content while making bank… is your main offer built around templates or coaching?"
ali_the_agent,"hey ali, love how you’re helping realtors double their GCI without splits – that’s rare and bold. are you mainly working 1:1 or doing group coaching too?"
theunderwatermentor,"hey woody, love how you’re helping divers break free and build online. do you still take on 1:1 mentees?"
jxchunn,"yo jason, love how you’re helping people scale their RE portfolios while crushing it as a superhost. are you still taking on new clients?"
birthworkerpodcast,"hey kyleigh, love how you’re turning “birth nerds” into legit business owners while keeping it so niche. are all your free trainings live or pre-recorded?"
hanna.slegers,"hey hanna, love how you built freedom without leaving your pups alone. do you still offer free info to help start home businesses?"
liuver.sanudo,"yo liuver, love how you mix cash flow investing with mentoring—feels like you really get both sides of the game. do you only do deals locally or work nationwide too?"
iamisabelvarela,"hey isabell, love how you’re helping women cut through the overwhelm and get aligned in their business. are you only offering group coaching or 1:1 too?"
stephaniehesscoaching,"hey stephanie, love how you’re all about building success without sacrificing quality of life. are you taking on new clients right now?"
atr_coachamy,"hey amy, love how you’re showing people how to leverage opm for short-term rentals—game changer. do you still coach on building business credit too?"
theperceptivetrader,"hey sara, love how you tie discipline and emotional resilience to trading success—most people miss that connection. do you only coach traders 1:1 or do you offer group programs too?"
rodrigo.trader.coach,"yo rodrigo, man your track record with funded traders is unreal - 210 accounts unlocked this year?? are you running most of your coaching 1:1 or group-based?"
thestocksisterhood,"hey monga, love how you’re helping women build confidence while learning stocks—such an empowering mission. are your challenges live or on-demand?"
keanutrades,"yo honeycomb, love how you simplify trading with edge + profitability for your audience. are your trading alerts live or pre-recorded?"
andrewshanejordan,"yo andrew, love how you simplify trading for all experience levels - that’s rare in this space. do you offer private coaching too?"
littlemiss300aday,"hey sumayyah, love how you’re making trading less intimidating for women – pray, profit, repeat is such a vibe. do you mainly focus on group programs or do you also do 1:1?"
roarlikerathore,"yo mahesh, love how you blend mindset and life alongside trading—most people miss that. is your 15min trading magic only in group settings or do you do 1:1 too?"
davidthomasoriginal,"hey david, love how you blend faith and leadership with trading—rare to see someone so grounded in this space. do you still take on new coaching clients?"
cassperr_smc_,"yo jesse, love how you’re helping traders get funded in such a short time. are you still taking on new clients?"
invest2give,"yo laquore, love how you’re making stock market investing feel doable for beginners. is the free starter kit automated, or do you guide people directly?"
thoroughbred.dan,"yo fast cash, love your focus on helping traders make instant wins online. are you only teaching through your courses or doing 1:1 too?"
edzfxtrade_,"yo, love how you’re helping traders pass funded accounts—catching my attention big time. do you still offer 1:1 coaching?"
moretotrading,"yo amadeus, love how you highlight accountability as the game-changer for traders’ results. are you working with people 1:1 or is it all through the system?"
