username,message
randycdyck,"yo randy, love how you’ve been top 1% since ‘95 - insane level of consistency. is your coaching mostly group or do you take on 1:1 too?"
coachvikramdeol,"yo vikram, love how you’re breaking down persuasion into actionable wins for realtors. are you coaching groups only or doing 1:1s too?"
kristijencks,"hey kristi, love how you simplify real estate with systems and structure – makes it stand out. do you work with newer agents or just seasoned pros?"
kelly_e_parker,"hey kelly, love how you're helping women build businesses that actually feel authentic instead of cookie-cutter. do you do 1:1 coaching or is it group only?"
estateofjenn,"hey jenn, love how you’re building community with the hype. squad while crushing it as a multi-state realtor. do you focus more on coaching or selling?"
door2doorrealestate,"yo jeremy, 75 homes your first year and 15 years door to door… that grind is next level. is your coaching mostly group-based or do you do 1:1 too?"
lewis_helps,"yo terance, love how you’ve made real estate investing feel doable for anyone, even with $0. are you still taking on new partners?"
gilramoslife,"yo gil, love how you’re all about building empires and freedom for agents—feels like such a fresh take in real estate. are your strategy calls 1:1 or group?"
buildaphotobusiness,"hey darryl, love how you’re helping photographers focus on the business side of things—so many miss that part. are your coaching sessions 1:1 or group?"
jenniutz,"hey jenni, love how focused you are on building financial freedom through real estate - especially with fix & flips. are you taking on more investor projects right now?"
greenrealestatemom,"hey jasmine, love how you’re showing women that financial freedom is actually achievable through real estate. are your live q&a’s the best way for people to connect with you?"
korymackinnon,"yo kory, love how you’re helping people ditch the 9-5 and scale portfolios. are you still taking on new coaching clients?"
loganthefreeagent,"yo logan, love how you’re empowering agents to scale with video—seriously overlooked in real estate. are you still taking on new clients?"
amymahjoory,"hey amy, love how you’ve turned private money into such a simple science. is your workshop live or all online?"
kptheogbuyshomes,"yo kevin, love how you’re all about solving real estate problems and helping people level up through mentoring. do you mainly work with first-timers or experienced investors?"
shak_2much,"yo shakir, love how you’re helping businesses stack income streams without overcomplicating it. are you still taking on new clients for funding?"
kailalindseyrealtor,"hey charlotte, love how you’re showing agents how to hit 6 figs with just one video a week. are you still taking on new coaching clients?"
officialdavidbronner,"yo david, love how you help real estate pros skip trends and still crush it with video. are you still taking on new clients for coaching?"
pinkyknowsnaples,"hey sue, love how you’re not just teaching instagram strategies but actually walking the walk as an active agent yourself. do you coach agents 1:1?"
realtormomcoach,"hey taley, love how you’ve built a space for moms to crush it in real estate while balancing everything else. do you take on new agents for coaching?"
greenrealestatemom,"hey jasmine, love how you’re empowering women to build wealth through real estate, especially with $10M+ closed. do you still do live 1:1 coaching too?"
officialdavidbronner,"yo david, love how you’re helping realtors ditch the silly trends and focus on what actually works. are you still coaching 1:1 or is it group-based now?"
kailalindseyrealtor,"hey charlotte, love how you’re getting agents to scale big just with one video a week. are you coaching people 1:1 or is it all group?"
coachmattplumer,"yo matthew, love how you’re helping real estate agents actually build wealth without all the stress. are you taking on new agents right now?"
pinkyknowsnaples,"hey sue, i love how you’re blending instagram coaching with your experience as an active agent—makes it feel more real and legit. do you still take on agents for 1:1 coaching?"
kptheogbuyshomes,"yo kevin, love how you’re real about helping people solve tough real estate problems while mentoring them to level up. is your mentoring all 1:1 or do you do group too?"
kristengilstrap,"hey kristen, love how you’ve built a 7-figure rental portfolio and still make it look so doable for others. are you still helping people buy their first rental in 30 days?"
lewis_helps,"yo terance, love how you’re showing people they don’t need big money to jump into real estate. are you still partnering with students?"
shak_2much,"yo shakir, love how you’re helping businesses stack extra income streams while partnering with a bank—crazy strong positioning. are you still taking on new coaching clients?"
laurafloodcoaching,"hey laura, love how you focus on helping realtors hit top 1% while keeping that work/life balance. are you still coaching 1:1 or taking on groups too?"
loganthefreeagent,"yo logan, love how you’re getting real estate pros to step up and own it with video. are you mostly focused on group coaching or doing 1:1 too?"
pinkyknowsnaples,"hey sue, love how you’re helping agents master IG instead of just posting random stuff. do you work with teams too or just individuals?"
shak_2much,"yo shakir, love how you’re helping businesses stack income streams without overcomplicating. are you still taking on new clients for consultations?"
amygregory,"hey amy, love how you’re turning reels into actual deals for realtors. are you still coaching 1:1 or is it all through the templates now?"
eldeethedon,"yo lanre, man i’m impressed by the $100M impact you’ve helped your mentees hit—crazy results. are your free trainings live or pre-recorded?"
kptheogbuyshomes,"yo kevin, love how you're all about solving real estate problems while helping people level up with mentoring. do you personally work 1:1 with clients?"
amymahjoory,"hey amy, love how you’ve turned raising private money into such a simple and effective system—crazy relatable. do you still run those 1-day workshops live?"
kailalindseyrealtor,"hey charlotte, love how you’re helping agents hit six figures with just one video a week—such a killer concept. are you still working with agents 1:1 or is it mostly group coaching?"
laurafloodcoaching,"hey laura, love how you’re all about combining top 1% success with freedom - feels like a rare approach in real estate. do you still work 1:1 with agents or just focus on coaching now?"
kptheogbuyshomes,"yo kevin, love how you’re all about solving real estate problems while helping people level up with mentoring. do you do 1:1 mentoring too?"
