"username","message"
"thecoachesmentorship","yo, coaches' mentorship, love how you’re helping fitpros scale to real, sustainable businesses. are you mostly working with beginners or established coaches?"
"jefftrills","yo jeff, love how you're blending offline marketing and funding strategies—feels rare these days. are you mainly helping small biz owners locally or nationwide?"
"thesuccessbroker","yo syed, love how you’re helping introverted agents crush it without the usual grind. are you mostly working with newer agents or seasoned pros too?"
"dariusbenders","yo darius, 25 mill funded and 50 mentees hitting six figures? respect, man. do you help with startup funding too?"
"limitlessincomewithclaudia","hey claudia, love how you’re helping mamas turn their passions into something profitable while raising kids—that’s such a vibe. do you offer 1:1 mentorships?"
"thedouladarcy","hey there! love how you're helping doulas create both impact and income. are you still taking on new coaching clients?"
"womenwithcents","hey tash, love how you’re helping women shift from overwhelm to confidence with money—such a powerful mission. are you still doing 1:1 coaching?"
"female.in.finance","hey leandra, love how you’re making finance feel approachable without losing the edge. are you still giving out that free investing guide?"
"forrestblackburn","yo forrest, 4th gen in real estate and helping investors scale fast? respect. you taking on new investors right now?"
"missmegabug","hey meg, love how you’re helping side hustlers make the leap to self-employed. do you offer 1:1 mentorship?"
"samantha_gladish","hey samantha, love how you merge mindset and strategy to help coaches launch. are your programs group-based or do you do 1:1 too?"
"jennaffiliate","yo jenn, love how you’ve mastered pulling in five figures from digital products while keeping it simple. are your collabs strictly email or do you take DMs too?"
"willakammerer","hey willa, love how you’re all about tackling tech overwhelm for creators. are you still taking on clients or fully booked up?"
"mindbodycoachmichael","yo michael, love how you’re helping business owners scale using ai and systems—feels like you’re ahead of the game. are you working mostly with startups or established brands?"
"bossbarbietre","hey treana, love how you’re making financial literacy approachable for people—feels like you really care about leveling folks up. do you work with startups too?"
"iamlindasidhu","hey linda, love how you’ve nailed bringing people together with mixer mind™ - feels like such a rare gift. are you still building the waitlist or locking it in soon?"
"timeofdre","hey andrea, love how you focus on helping people build a platform the right way, no fluff. are you still taking people for 1x1s?"
"socialbylilly","hey lilly, love how you’re all about helping women coaches attract soul clients without paid ads. do you take on new clients 1:1 or only through group programs?"
"jonelle.elizabeth","hey jonelle, i love how you make social media feel so simple for small businesses while still driving results. do you still have spots open for social media coaching?"
"the.jackie.richards","hey jackie, love how you lean into personality-driven content and keep it fun while making sales. is your membership the main way people work with you?"
"thesheapproach","hey ana, love how you make blogging feel doable and not overwhelming—especially for beginners. do you focus more on new bloggers or people already growing their blogs?"
"khalilullahkhan1","yo khalil, love how you’re equipping people to actually make a living doing what they love instead of chasing trends. are you still taking on collabs?"
"jenniferewc","hey jennifer, love how you make writing feel so effortless for business owners—no fluff, just results. do you work more with bloggers or biz coaches?"
"breepair","hey bree, love how you’re helping creators grow without that constant hustle overwhelm. are your programs mostly group-based or 1:1 too?"
"marcronick","hey marc, love how you’ve made podcasting feel so doable with your focus on simplifying the strategies. are you taking on new podcasters right now?"
"thefelipefontes","yo felipe, love how you’ve cracked the code on helping podcasters hit that top 1% status—insane results, man. are you still taking on podcast clients?"
"the_human_design_coach","hey emma, i've got to say, the way you simplify human design without losing its depth is wild. are you still doing personal readings or focusing on the podcast now?"
"mz.selfluv","hey podcast coach, love how you’re helping women turn their stories into a platform + income. do you mostly do 1:1 calls or group coaching?"
"heyashleywalker","hey ashley, love how you’re teaching realtors to actually leverage instagram instead of just posting random houses. is the insta agent course self-paced or live?"
"getrichorgetdrunktrying","yo asia, love how you’re helping people ditch the 9-5 and build freedom… do you still run the free masterclass?"
"learn_with_thompson","yo thompson, love how you’re helping store owners hit that scale online with dropshipping. are your coaching sessions 1:1 or group-based?"
"getrichorgetdrunktrying","hey asia, love how you’re empowering people to ditch the 9-5 and create freedom with dropshipping. is your masterclass live or pre-recorded?"
"matt_stevo89","yo matt, love how you focus on helping brands scale fast. are you only doing free calls or do you offer paid mentorship too?"
"shayne.ecom","hey shayne, love how you’re helping people build massive amazon businesses - feels like you’re making it super accessible. are you still taking on 1:1 clients?"
"getrichorgetdrunktrying","hey asia, love how you’re helping people ditch the 9-5 and build freedom through dropshipping. is your free masterclass live or pre-recorded?"
"matt_stevo89","yo matt, love how you focus on helping brands scale fast, that’s rare to see with so much fluff out there. are your free calls just for ecommerce brands?"
"getrichorgetdrunktrying","hey asia, love how you're helping people escape the 9-5 and build total freedom while keeping it simple. is your masterclass pre-recorded or live?"
"t_banuofficially","hey banu, love how you’ve gone from lawyer to dropshipper while training over 500 students—that’s a killer transition. do you still coach on sales and smm?"
"tylerjakewolf","yo tyler, love how you’re out there building ecomm brands while living the tulum life. are you still taking on 1:1 clients?"
"creativegurujimarketing","hey guruji, love how you’ve helped over 200 clients globally while keeping it focused on real results like $35k in 60 days. are you still taking on new businesses or all booked up?"
"prosync.solutions","yo pro, love how you’ve coached over 10k people while crushing ecom. is your amazon fba program fully automated?"
"shayne.ecom","yo shayne, love how you’re building amazon businesses that actually scale instead of just hyping it up. curious, are you still taking on 1:1 clients?"
"ecom_accelerator_101","yo musa, love how you’re all about building high-performance ecommerce brands. are your 1:1 coaching sessions live only?"
"ally_wealth","hey alero, love how you’re all about helping people turn email into actual sales. do you still take on clients 1:1 or just coaching now?"
"unstoppableecomm","hey karyn, love how you’re all about giving actionable advice to help store owners actually sell more. do you still offer those free conversion audits?"
"kimberlylovi","hey kimberly, love how you’re creating a whole media movement around podcasting—feels like you’re building more than just shows, but brands that last. are you still adding people to the waitlist?"
"mattcheneymedia","yo matt, love how you’re all about helping creatives scale through smart inbound strategies. are you still taking on new clients for podcast coaching?"
"coachscottyrussell","yo scotty, i love how you’re merging art with helping creatives build their grind - feels like such a rare combo. are you still doing 1:1 coaching?"
"georgesalas360","hey george, i love how you’re helping investors not just build wealth but create freedom and impact too. are you still taking on new mentees for STR coaching?"
"amanda_han_cpa","hey amanda, love how you make paying zero taxes sound like an art form lol. do you work with new investors or just seasoned pros?"
"theericcline","yo eric, love how you’re building that hustle summit into such a movement. are your coaching programs mostly group-based or do you do 1:1 too?"
"shaunyoungrealestate","yo shaun, love how you’ve built a whole method around smart wholesaling—everything about your bio screams systems that actually work. are you still taking on new coaching clients?"
"mikehilltwt","yo mike, love how you’re teaching people to break free from the 9 to 5 grind. are you mostly coaching 1:1 or is it group stuff?"
"crischico","yo cris, love how you’ve turned wholesaling into the ultimate freedom business with the 100% virtual model. are you working with new students right now?"
"realkingkhang","yo khang, love how you’re all about helping people break free and scale with wholesaling. do you still take on 1:1 clients?"
"tyson_smith","yo tyson, love how you’re out here guaranteeing that first deal—seriously backs up the 7-figure wholesaler creds. are you mostly doing 1:1s right now?"
"qthecloser","yo anthony, 3,000+ deals is insane bro lol. are you still taking on new wholesalers in your program?"
"realestatemills","yo chris, love how you’re repping faith and helping people hit 7 figures in wholesaling… is your inbound class only live or do you have recordings too?"
"ihustlebro","yo abdullah, 500+ deals and 400+ employees? you’re on another level. are you still doing 1:1 mentorships or just scaling rentals now?"
"sharronrogers1997","hey sharron, love how you’re building wealth and mentoring others to do the same—true leader moves. do you still take on new investors?"
"carlosreyes","yo carlos, love how you’re repping both mexico and america while paving the way in real estate. you doing 1:1 coaching or more group stuff?"
"noahjohnston","yo noah, love how you’re turning wholesaling into a real wealth-building machine, not just a quick hustle. is your mentorship all online or do you do in-person coaching too?"
"markflipshouses","yo mark, love how you’re using ai to flip houses without cash or credit - making real estate actually accessible. is your free class all pre-recorded or do you do live sessions too?"
"transformrealestate","hey elisa, love how you're not just flipping houses but flipping mindsets too - teaching people to see opportunity where others see risk. do you take on beginners or only those who’ve done deals before?"
"thechrisjefferson","yo chris, 13 years in the game and still pushing the culture forward… respect. you strictly teaching flips or holding any rentals too?"
"oneiljparker","yo o’neil, respect man, you’re hitting every lane—contractor, investor, mentor—most people struggle to master one. you still taking on mentees?"
"sharronrogers1997","hey sharron, love how you're out here building wealth and mentoring others to do the same. are you still taking on new mentees?"
"carlosreyes","yo carlos, love how you bring that mexican-american hustle to the game—true empresario mindset. you still actively coaching blue-collar biz owners?"
"noahjohnston","yo noah, love how you’re turning wholesaling into a predictable six-figure play for people… not many keep it that real. are you still taking on new students?"
"markflipshouses","yo mark, love how you’re blending real estate with ai tech—feels like you’re ahead of the curve. do you still run free classes?"
"transformrealestate","hey elisa, love how you're not just flipping houses but flipping mindsets too—mentoring new investors to see the real potential in this game. do you take on beginners or just people with some experience?"
